Id;Unicode;Gardinercode;Symbol
714;U+132C9;R22;𓋉
715;U+132CA;R23;𓋊
716;U+132CB;R24;𓋋
717;U+132CC;R25;𓋌
718;U+132CD;R26;𓋍
719;U+132CE;R27;𓋎
720;U+132CF;R28;𓋏
721;U+132D0;R29;𓋐
722;U+132D1;S1;𓋑
723;U+132D2;S2;𓋒
724;U+132D3;S2a;𓋓
725;U+132D4;S3;𓋔
726;U+132D5;S4;𓋕
727;U+132D6;S5;𓋖
728;U+132D7;S6;𓋗
729;U+132D8;S6a;𓋘
730;U+132D9;S7;𓋙
731;U+132DA;S8;𓋚
732;U+132DB;S9;𓋛
733;U+132DC;S10;𓋜
734;U+132DD;S11;𓋝
735;U+132DE;S12;𓋞
736;U+132DF;S13;𓋟
737;U+132E0;S14;𓋠
738;U+132E1;S14a;𓋡
739;U+132E2;S14b;𓋢
740;U+132E3;S15;𓋣
741;U+132E4;S16;𓋤
742;U+132E5;S17;𓋥
743;U+132E6;S17a;𓋦
744;U+132E7;S18;𓋧
745;U+132E8;S19;𓋨
746;U+132E9;S20;𓋩
747;U+132EA;S21;𓋪
748;U+132EB;S22;𓋫
749;U+132EC;S23;𓋬
750;U+132ED;S24;𓋭
751;U+132EE;S25;𓋮
752;U+132EF;S26;𓋯
753;U+132F0;S26a;𓋰
754;U+132F1;S26b;𓋱
755;U+132F2;S27;𓋲
756;U+132F3;S28;𓋳
757;U+132F4;S29;𓋴
758;U+132F5;S30;𓋵
759;U+132F6;S31;𓋶
760;U+132F7;S32;𓋷
761;U+132F8;S33;𓋸
762;U+132F9;S34;𓋹
763;U+132FA;S35;𓋺
764;U+132FB;S35a;𓋻
765;U+132FC;S36;𓋼
766;U+132FD;S37;𓋽
767;U+132FE;S38;𓋾
768;U+132FF;S39;𓋿
769;U+13300;S40;𓌀
770;U+13301;S41;𓌁
771;U+13302;S42;𓌂
772;U+13303;S43;𓌃
773;U+13304;S44;𓌄
774;U+13305;S45;𓌅
775;U+13306;S46;𓌆
776;U+13307;T1;𓌇
777;U+13308;T2;𓌈
778;U+13309;T3;𓌉
779;U+1330A;T3a;𓌊
780;U+1330B;T4;𓌋
781;U+1330C;T5;𓌌
782;U+1330D;T6;𓌍
783;U+1330E;T7;𓌎
784;U+1330F;T7a;𓌏
785;U+13310;T8;𓌐
786;U+13311;T8a;𓌑
787;U+13312;T9;𓌒
788;U+13313;T9a;𓌓
789;U+13314;T10;𓌔
790;U+13315;T11;𓌕
791;U+13316;T11a;𓌖
792;U+13317;T12;𓌗
793;U+13318;T13;𓌘
794;U+13319;T14;𓌙
795;U+1331A;T15;𓌚
796;U+1331B;T16;𓌛
797;U+1331C;T16a;𓌜
798;U+1331D;T17;𓌝
799;U+1331E;T18;𓌞
800;U+1331F;T19;𓌟
801;U+13320;T20;𓌠
802;U+13321;T21;𓌡
803;U+13322;T22;𓌢
804;U+13323;T23;𓌣
805;U+13324;T24;𓌤
806;U+13325;T25;𓌥
807;U+13326;T26;𓌦
808;U+13327;T27;𓌧
809;U+13328;T28;𓌨
810;U+13329;T29;𓌩
811;U+1332A;T30;𓌪
812;U+1332B;T31;𓌫
813;U+1332C;T32;𓌬
814;U+1332D;T32a;𓌭
815;U+1332E;T33;𓌮
816;U+1332F;T33a;𓌯
817;U+13330;T34;𓌰
818;U+13331;T35;𓌱
819;U+13332;T36;𓌲
820;U+13333;U1;𓌳
821;U+13334;U2;𓌴
822;U+13335;U3;𓌵
823;U+13336;U4;𓌶
824;U+13337;U5;𓌷
825;U+13338;U6;𓌸
826;U+13339;U6a;𓌹
827;U+1333A;U6b;𓌺
828;U+1333B;U7;𓌻
829;U+1333C;U8;𓌼
830;U+1333D;U9;𓌽
831;U+1333E;U10;𓌾
832;U+1333F;U11;𓌿
833;U+13340;U12;𓍀
834;U+13341;U13;𓍁
835;U+13342;U14;𓍂
836;U+13343;U15;𓍃
837;U+13344;U16;𓍄
838;U+13345;U17;𓍅
839;U+13346;U18;𓍆
840;U+13347;U19;𓍇
841;U+13348;U20;𓍈
842;U+13349;U21;𓍉
843;U+1334A;U22;𓍊
844;U+1334B;U23;𓍋
845;U+1334C;U23a;𓍌
846;U+1334D;U24;𓍍
847;U+1334E;U25;𓍎
848;U+1334F;U26;𓍏
849;U+13350;U27;𓍐
850;U+13351;U28;𓍑
851;U+13352;U29;𓍒
852;U+13353;U29a;𓍓
853;U+13354;U30;𓍔
854;U+13355;U31;𓍕
855;U+13356;U32;𓍖
856;U+13357;U32a;𓍗
857;U+13358;U33;𓍘
858;U+13359;U34;𓍙
859;U+1335A;U35;𓍚
860;U+1335B;U36;𓍛
861;U+1335C;U37;𓍜
862;U+1335D;U38;𓍝
863;U+1335E;U39;𓍞
864;U+1335F;U40;𓍟
865;U+13360;U41;𓍠
866;U+13361;U42;𓍡
867;U+13362;V1;𓍢
868;U+13363;V1a;𓍣
869;U+13364;V1b;𓍤
870;U+13365;V1c;𓍥
871;U+13366;V1d;𓍦
